"3097","WALL MOUNT RACKS","RACK","15U RACK FRAME/600/650/STEEL/NRS1/WELDED/CASTER 2","0.00 No","2021-07-02 04:43:10.102640"
"3098","Dlink","Molex Components","1*6 Adaptor Panel -SC","Array","2021-07-02 04:43:10.198638"
"3099","Hardware","; Not Applicable","16amp 3 Pin Top","0.00 PCS = 0.00 No","2021-07-02 04:43:10.290950"
"3100","Hardware","Others","16 AMP SWITCH 1 MODULE","0.00 No","2021-07-02 04:43:10.386603"
"3101","MEMORY CARD","; Not Applicable","16 Gb Micro Sd Memory Card","Array","2021-07-02 04:43:10.482617"
"3102","ETHERNET SWITHCES","AIRPRO","16 Port Rack Mount Swich (ST3116)"," 4.00 Box =  4.00 PCS","2021-07-02 04:43:10.574666"
"3103","ACCESS POINT POE SWITCH","AIRPRO","16 PORT REVERSE Poe SWITCH"," 5.00 No =  5.00 PCS","2021-07-02 04:43:10.666947"
"3104","NETIS","; Not Applicable","16 Port Swich Unmanaged Rack Mountable","Array","2021-07-02 04:43:10.766714"
"3105","ACCESS POINT POE SWITCH","AIRPRO","16 Port Unmanaged Giga 10/100/1000 Switch","Array","2021-07-02 04:43:10.862681"
"3106","Hardware","Others","17/8 GB TB /WIN  10/18.5 TFT /3 YEAR","Array","2021-07-02 04:43:10.959323"
"3107","FLOOR MOUNT RACKS","RACK","17 U Rack Frame /600*600/Steel Casters Type 1"," 3.00 No","2021-07-02 04:43:11.054633"
"3108","Hardware","Others","18.5 LCD","Array","2021-07-02 04:43:11.154679"
"3109","AIRPRO ANTENNA","AIRPRO","18 DBI 5.8 GHZ Mimo Omni Antina","Array","2021-07-02 04:43:11.254608"
"3110","Hardware","Others","18 TFT + KEYBOARED +MOUSE","Array","2021-07-02 04:43:11.358615"
"3111","FLOOR MOUNT RACKS","RACK","19'Adopter Kit/Closed Door /100/2","Array","2021-07-02 04:43:11.478622"
"3112","KVM Switch","WALL MOUNT RACK","19' Industrial LCD KVM Console","0.00 No","2021-07-02 04:43:11.570644"
"3113","Dell Desktop","; Not Applicable","19.5 'LED Monitor","Array","2021-07-02 04:43:11.666672"
"3114","Fortinet Access Point","Fortinet Fresh","1GE SFP RJ45 Transciever Module with SFP/SFP+Slots","Array","2021-07-02 04:43:11.762909"
"3115","Hard Disk","Others","1s","Array","2021-07-02 04:43:11.859236"
"3116","Hard Disk","Others","1 TB HDD INTERNAL TOSHIBA HARD DISK","0.00 No = 0.00 PCS","2021-07-02 04:43:11.955261"
"3117","NICON","WALL MOUNT RACK","1U Cable Manager (For Computer Rack ) N","-1.00 No = -1.00 PCS","2021-07-02 04:43:12.049928"
"3118","Hardware","Others","2012 ROK 2012 SERVER MS","Array","2021-07-02 04:43:12.151215"
"3119","Finolex","Molex Components","20 Pair*.51mm Telephone Cable Spc 100mtr","Array","2021-07-02 04:43:12.251218"
"3120","; Primary","; Not Applicable","20 Pair J.F.T. Cable","Array","2021-07-02 04:43:12.347283"
"3121","Finolex","Molex Components","20 Pair Telephone Cable","Array","2021-07-02 04:43:12.447247"
"3122","OUTDOOR AP","AIRPRO","2200 MBPS Outdoor Access Point with External Antenn","0.00 No = 0.00 PCS","2021-07-02 04:43:12.539226"
"3123","FLOOR MOUNT RACKS","RACK","22 U Rack Frame /600*1000/Steel/NRS-1"," 2.00 No","2021-07-02 04:43:12.635245"
"3124","FLOOR MOUNT RACKS","RACK","22 U Rack Frame/600*600/Steel Casters Type 1"," 4.00 No","2021-07-02 04:43:12.727206"
"3125","FLOOR MOUNT RACKS","RACK","22 U Rack Frame/600*800/steel/NRS1 (Computer Rack)"," 1.00 No","2021-07-02 04:43:12.819230"
"3126","Data Switch","AIRPRO","24+2SFP PORT 10/100/1000 WEB SMART ETHERNET SWITCH","0.00 No = 0.00 PCS","2021-07-02 04:43:12.911220"
"3127","Antenna","; Not Applicable","24 DBI Grid Entina","Array","2021-07-02 04:43:13.007205"
"3128","AIRPRO ANTENNA","AIRPRO","2.4 GHZ 13 DBI MIMO OMNI ANTENNA"," 3.00 Box =  3.00 PCS","2021-07-02 04:43:13.103243"
"3129","AIRPRO ANTENNA","AIRPRO","2.4 GHZ 16 DBI 120 DGREE SECTOR ANTENNA"," 1.00 Box =  1.00 PCS","2021-07-02 04:43:13.199203"
"3130","FLOOR MOUNT RACKS","RACK","24U Rack Frame/800/1000/Steel/NRS1/ Welded","Array","2021-07-02 04:43:13.295239"
"3131","CAMERA POE SWITCH","AIRPRO","24 Volt Reverse Poe Outdoor Switch (NS-RP071P-0D)","Array","2021-07-02 04:43:13.391275"
"3132","FORTINET FRESH","Fortinet Fresh","24x7 FortiCare Contract (1-110 DEVICES /VIRTUAL )","0.00 No = 0.00 PCS","2021-07-02 04:43:13.487181"
"3133","FORTINET FRESH","Fortinet Fresh","24x7 FORTICARE CONTRACT (FC-10-L0401-247-02-36)","Array","2021-07-02 04:43:13.583211"
"3134","Hardware","Others","2.5sqmm*3core Cu. Flex.Cable","0.00 No","2021-07-02 04:43:13.675194"
"3135","Hardware","Others","2.5 Sqmm S/c Cu. Flex Cable","0.00 No","2021-07-02 04:43:13.767199"
"3136","FLOOR MOUNT RACKS","RACK","27U Rack Frame /600*1000/Steel /NRS-1Casters Type 2"," 4.00 No","2021-07-02 04:43:13.859218"
"3137","FLOOR MOUNT RACKS","RACK","27 U Rack Frame/600*600/Steel Casters Type 1"," 4.00 No","2021-07-02 04:43:13.951224"
"3138","FLOOR MOUNT RACKS","RACK","27 U Rack Frame/600*650/Steel/NRS-1 (Computer Rack)","Array","2021-07-02 04:43:14.050867"
"3139","FLOOR MOUNT RACKS","RACK","27 U Rack Frame/600*800/Steel/NRS-1 Casters Type 2"," 1.00 No","2021-07-02 04:43:14.143226"
"3140","FLOOR MOUNT RACKS","RACK","27URack Frame/600x600/Steel/FM IP55","Array","2021-07-02 04:43:14.239197"
"3141","Net Rack","RACK","27 U Rack Frame/800*800/Steel Casters Type 1","0.00 No","2021-07-02 04:43:14.331164"
"3142","Suvira Screens and Stand","Others","2feet Celling Kit","Array","2021-07-02 04:43:14.427229"
"3143","Hardware","Others","2 FIBER Ftth Cable","0.00 mtr = 0.00 PCS","2021-07-02 04:43:14.519256"
"3144","Hardware","Others","2 GB DDR3 (KVR 1333 D3 N9/2G-SP)","Array","2021-07-02 04:43:14.615223"
"3145","Finolex","Molex Components","2 Pair Telephone Cable","Array","2021-07-02 04:43:14.711270"
"3146","WALL MOUNT RACKS","RACK","2 U/400 COMPUTER RACK","0.00 No = 0.00 PCS","2021-07-02 04:43:14.807244"
"3147","FORTINET RENEWAL","Fortinet Renewal","300C UTM Protection 8x5 Forticare Plus 1 Yr Renewal","0.00 No = 0.00 PCS","2021-07-02 04:43:14.903217"
"3148","Hardware","Others","308 EPABX","Array","2021-07-02 04:43:15.003231"
"3149","FORTINET FRESH","Fortinet Fresh","30E BUNDLE 3 YEAR COTERM","-1.00 No = -1.00 PCS","2021-07-02 04:43:15.095199"
"3150","MEMORY CARD","; Not Applicable","32 Gb Micro Sd Memory Card","Array","2021-07-02 04:43:15.191195"
"3151","FLOOR MOUNT RACKS","RACK","32U Rack Frame/600*1000/Steel/NRS-1 Casters Type 2"," 1.00 No","2021-07-02 04:43:15.283210"
"3152","FLOOR MOUNT RACKS","RACK","32U Rack Frame/600*650/Steel/NRS-1 Casters Type 2"," 4.00 No","2021-07-02 04:43:15.375277"
"3153","FLOOR MOUNT RACKS","RACK","32U RACK FRAME /600*800/STEEL/NRS1/CASTERS TYPE 2"," 1.00 No","2021-07-02 04:43:15.471291"
"3154","; Primary","; Not Applicable","32U Rack Frame/800x1000/Steel","Array","2021-07-02 04:43:15.571267"
"3155","FORTINET RENEWAL","Fortinet Fresh","36 Month HW Bundle Upgrade From 8*5 to 24*7","Array","2021-07-02 04:43:15.666039"
"3156","Gift Items","Others","3D DOUBLE BED SHEET"," 6.00 No","2021-07-02 04:43:15.758024"
"3157","BENQ","Others","3D GLASSES DGD5 V2 PRJ","0.00 No","2021-07-02 04:43:15.851268"
"3158","3 Feet Celling Mount Kit","Others","3 Feet Celling Mount Kit White Level","Array","2021-07-02 04:43:15.945994"
"3159","Hardware","Others","3 KVA 9145 Inbuilt UPS","Array","2021-07-02 04:43:16.043274"
"3160","Quick Heal EPS","Quick Heal EPS","3 Years T2S 10 Security Plus","Array","2021-07-02 04:43:16.137907"
"3161","Terminator","; Not Applicable","3 YEARS T2S-30 SECURITY SUBSCRIPTION","Array","2021-07-02 04:43:16.237270"
"3162","Hardware","Others","400 Pair Krone Box","Array","2021-07-02 04:43:16.337322"
"3163","Tvs Cartage","; Not Applicable","416 BK CANAN TONER","Array","2021-07-02 04:43:16.434010"
"3164","FLOOR MOUNT RACKS","RACK","42U (600X1200)NRS/CKS CASTERS (ComputerRack)","Array","2021-07-02 04:43:16.530171"
"3165","FLOOR MOUNT RACKS","RACK","42 URack /800*1000/Steel /NRS (Computer Rack)"," 2.00 No","2021-07-02 04:43:16.623352"
"3166","FLOOR MOUNT RACKS","RACK","42U Rack Frame/600*1000/Steel/NRS-1 Caster Type 2"," 4.00 No","2021-07-02 04:43:16.715701"
"3167","FLOOR MOUNT RACKS","RACK","42U Rack Frame/600*650/Steel/NRS-1 Casters Type 2"," 4.00 No","2021-07-02 04:43:16.811272"
"3168","FLOOR MOUNT RACKS","RACK","42U Rack Frame/600*800/Steel/NRS-1 Casters Type 2"," 4.00 No","2021-07-02 04:43:16.906122"
"3169","FLOOR MOUNT RACKS","RACK","42U Rack Frame/600x1000/Aluminium /NRA/Casterstype3","0.00 No","2021-07-02 04:43:16.999498"
"3170","FLOOR MOUNT RACKS","RACK","42U  Rack Frame/800*1000/Steel/NRS-1 Caster Type 2"," 7.00 No","2021-07-02 04:43:17.094573"
"3171","FLOOR MOUNT RACKS","RACK","42U Rack Frame /800*1200/Steel/NRS (Computer Rack)","0.00 No","2021-07-02 04:43:17.192888"
"3172","Net Rack","RACK","42U RACK FRAME /800X1000/ALUMINIUM/NRA/CKD","Array","2021-07-02 04:43:17.291310"
"3173","Studio","Others","4300 BSPEAKER PHONE"," 1.00 Box =  1.00 No","2021-07-02 04:43:17.385544"
"3174","LG TV","LG Commercials","43 LG LED TV 43LU340C WITH 3 YRS"," 2.00 No","2021-07-02 04:43:17.478205"
"3175","Hardware","Others","44B DDRIII RAM","0.00 No","2021-07-02 04:43:17.571545"
"3176","Finolex","Others","4 Core Fibre Unarmoured Finolex","0.00 mtr = 0.00 No","2021-07-02 04:43:17.667284"
"3177","Dell Desktop","Others","4GB DDR 4 ADATA RAM","0.00 No","2021-07-02 04:43:17.763567"
"3178","4 IP NET Device","4 IP NET","4IP NET HSG 326"," 9.00 No =  9.00 PCS","2021-07-02 04:43:17.859342"
"3179","4 IP NET Device","4 IP NET","4 IPNET WHG 201 HOTSPOT GATEWAY"," 1.00 No =  1.00 PCS","2021-07-02 04:43:17.955505"
"3180","4 IP NET Device","4 IP NET","4 IPNET WHG 260 HOTSPOT GATEWAY"," 1.00 Box =  1.00 PCS","2021-07-02 04:43:18.050267"
"3181","4 IP NET Device","4 IP NET","4IPNet WHG321 Hotspot Gatway","Array","2021-07-02 04:43:18.149575"
"3182","; Primary","; Not Applicable","4 Ip Printer Sds200w","Array","2021-07-02 04:43:18.249538"
"3183","Studio","Others","4K 60 Recording Capture Card (E)"," 1.00 No =  1.00 PCS","2021-07-02 04:43:18.346323"
"3184","WALL MOUNT RACKS","RACK","4U/400 Rack (For Computer Rack)"," 24.00 No","2021-07-02 04:43:18.439536"
"3185","OUTDOOR RACKS","RACK","4U/400 Rack/WMOD/Metal Door/Outdoor/IP55"," 3.00 No","2021-07-02 04:43:18.533517"
"3186","NICON","WALL MOUNT RACK","4 U /500 RACK (For Computer Rack) N","Array","2021-07-02 04:43:18.634274"
"3187","Hardware","; Not Applicable","4U OUTDOOR RACK N","0.00 No = 0.00 PCS","2021-07-02 04:43:18.729657"
"3188","Finolex","Molex Components","50pair Jelly Filled Armourd Cable","Array","2021-07-02 04:43:18.827374"
"3189","Molex Cables","Molex Cable","50 Pair Riser Cable Indoor, Delton From","Array","2021-07-02 04:43:18.927597"
"3190","Molex Patch Panels","Molex Components","50 Rj45 Katt(50 Port Voice Patch Panel)","Array","2021-07-02 04:43:19.027360"
"3191","XPRO Keyboards","Others","5252 Combo PS2+USB Connector Scheme"," 94.00 No =  94.00 PCS","2021-07-02 04:43:19.123351"
"3192","LG TV","LG Commercials","55UH5F -B.ATRZ LCD MONITOR","0.00 No","2021-07-02 04:43:19.219639"
"3193","AIRPRO ANTENNA","AIRPRO","5.8 15 Dbi MIMO SECTOR ANTENNA"," 1.00 No =  1.00 PCS","2021-07-02 04:43:19.315380"
"3194","AIRPRO ANTENNA","AIRPRO","5.8 GHz 15dbi MIMO Omni Antenna
"," 2.00 Box =  2.00 PCS","2021-07-02 04:43:19.407449"
"3195","EPON OLT","AIRPRO","5 G Base Station","0.00 No = 0.00 PCS","2021-07-02 04:43:19.503557"
"3196","AIRPRO ANTENNA","AIRPRO","5GHZ 19DBI Sector Antenna"," 1.00 No =  1.00 PCS","2021-07-02 04:43:19.599525"
"3197","AIRPRO ANTENNA","AIRPRO","5Ghz Sector Antenna 120 Degree MIMO- BTS","Array","2021-07-02 04:43:19.695285"
"3198","Finolex","Molex Components","5 Pair Jelly Filled Outdoor Cable"," 13.00 mtr =  13.00 No","2021-07-02 04:43:19.787569"
"3199","Protegent Antivirus","; Not Applicable","5 User 360 Protegent","0.00 No = 0.00 URS","2021-07-02 04:43:19.883314"
"3200","Hardware","Others","620 I3 SG Inspiron Desktop Dos","Array","2021-07-02 04:43:19.983677"
"3201","Hardware","Others","6*4 Writing Board","Array","2021-07-02 04:43:20.082183"
"3202","Dell Leptop","; Not Applicable","670 Dell Inspiron 15R","Array","2021-07-02 04:43:20.183625"
"3203","Finolex","Molex Components","6 Core Fibre  Finolex"," 222.00 mtr =  222.00 No","2021-07-02 04:43:20.279256"
"3204","AP Cable","Molex Components","6 Core Unarmoured Cable","Array","2021-07-02 04:43:20.375262"
"3205","WALL MOUNT RACKS","RACK","6U/400 Rack (for Computer Rack)"," 24.00 No","2021-07-02 04:43:20.467440"
"3206","OUTDOOR RACKS","RACK","6U/400 Rack/WMOD/Metal Door/Outdoor/IP55"," 1.00 No","2021-07-02 04:43:20.563507"
"3207","WALL MOUNT RACKS","RACK","6U/500 Rack(for Computer Rack)","0.00 No","2021-07-02 04:43:20.659573"
"3208","WALL MOUNT RACKS","RACK","6 U/600 RACK (For Computer Rack)"," 22.00 No","2021-07-02 04:43:20.755326"
"3209","WALL MOUNT RACKS","RACK","6U/600 Rack with Bracket /Welded","Array","2021-07-02 04:43:20.855307"
"3210","WALL MOUNT RACKS","RACK","6U OUTDOOR RACK","Array","2021-07-02 04:43:20.959470"
"3211","Hardware","; Not Applicable","70D Demo Device","Array","2021-07-02 04:43:21.066299"
"3212","MS Server","Others","70UAA007IH-Intel Xeon E3-1225 V6","Array","2021-07-02 04:43:21.163263"
"3213","Hp","Others","805349-B21 (HP 16GB 1RX4 PC4)","Array","2021-07-02 04:43:21.271220"
"3214","Dell Desktop","Others","8GB DDR4 DESKTOP ADATA RAM"," 3.00 No","2021-07-02 04:43:21.367264"
"3215","Pen Drive","Others","8 GB HI Speed USB Flash Drive","Array","2021-07-02 04:43:21.491394"
"3216","MEMORY CARD","; Not Applicable","8GB MICRO SDHC MEMORY CARD","Array","2021-07-02 04:43:21.595482"
"3217","MEMORY CARD","; Not Applicable","8 GB Micro SDHC Memroy Card","Array","2021-07-02 04:43:21.691444"
"3218","Hardware","Others","8GB RAM DDR3","0.00 No = 0.00 PCS","2021-07-02 04:43:21.791412"
"3219","Hardware","Others","8 MODULE PLATE","0.00 No","2021-07-02 04:43:21.887306"
"3220","KVM Switch","WALL MOUNT RACK","8 Port Combo KVM 1 User Switch","0.00 No","2021-07-02 04:43:21.983417"
"3221","Networking Cables","Molex Components","8 Port Gigabit Netgear","Array","2021-07-02 04:43:22.091543"
"3222","CAMERA POE SWITCH","AIRPRO","8 Port Reverse Poe Outdoor Switch","Array","2021-07-02 04:43:22.194013"
"3223","ACCESS POINT POE SWITCH","AIRPRO","8 Port Unmanaged Giga 10/100/1000 Switch","Array","2021-07-02 04:43:22.295321"
"3224","CEILLING MOUNT AP","AIRPRO","9500 Ceilling Mount (Replacment)","Array","2021-07-02 04:43:22.395556"
"3225","CEILLING MOUNT AP","AIRPRO","9500  XDS"," 1.00 No =  1.00 PCS","2021-07-02 04:43:22.491496"
"3226","Dell Leptop","; Not Applicable","982 Dell Inspiron 15R","Array","2021-07-02 04:43:22.591591"
"3227","Dell Leptop","; Not Applicable","983 DELL INSPIRON 15R (RED)","Array","2021-07-02 04:43:22.695521"
"3228","WALL MOUNT RACKS","RACK","9U/400 Rack(for Computer Rack)"," 1.00 No","2021-07-02 04:43:22.791606"
"3229","OUTDOOR RACKS","RACK","9U/400 Rack/WMOD/Metal Door/Outdoor/IP55"," 2.00 No","2021-07-02 04:43:22.887472"
"3230","WALL MOUNT RACKS","RACK","9U/500 Rack(for Computer Rack)"," 3.00 No","2021-07-02 04:43:22.983422"
"3231","WALL MOUNT RACKS","RACK","9U/600 Rack (For Computer Rack)","Array","2021-07-02 04:43:23.087387"
"3232","Networking Cables","Molex Components","9U RACK Outdoor","Array","2021-07-02 04:43:23.191714"
"3233","Hard Disk","Others","A","Array","2021-07-02 04:43:23.297667"
"3234","Hard Disk","Others","AA","Array","2021-07-02 04:43:23.397647"
"3235","Hard Disk","; Not Applicable","Aas","Array","2021-07-02 04:43:23.501378"
"3236","ACCESS POINT POE SWITCH","AIRPRO","AC600 HIGH WIFI OUTDOOR AP"," 6.00 No =  6.00 PCS","2021-07-02 04:43:23.597694"
"3237","Air Pro","AIRPRO","AC Adaptor Output DC 48v-1.5A","0.00 No = 0.00 PCS","2021-07-02 04:43:23.691396"
"3238","CAMERA POE SWITCH","AIRPRO","AC Adaptor Output DC 48v-3A"," 19.00 No =  19.00 PCS","2021-07-02 04:43:23.785553"
"3239","Hardware","; Not Applicable","Accessories Cum Store Consumable","0.00 Box = 0.00 No","2021-07-02 04:43:23.879435"
"3240","Airpro Controller","AIRPRO","AC CONTROLLER 5005","Array","2021-07-02 04:43:23.975331"
"3241","Hardware","Others","Acer18.5; LED","0.00 PCS","2021-07-02 04:43:24.067464"
"3242","Hardware","Others","ACER 22' LED","0.00 No","2021-07-02 04:43:24.161579"
"3243","; Primary","; Not Applicable","ACER i3 8th generation 4gb ram","Array","2021-07-02 04:43:24.257753"
"3244","Hardware","Others","ACER Laptop A315-57G/NX-HZRS1-001 BAG","0.00 No = 0.00 PCS","2021-07-02 04:43:24.351434"
"3245","Hardware","; Not Applicable","Acer Monitor 19.5 inches","0.00 PCS","2021-07-02 04:43:24.445659"
"3246","ACER","; Not Applicable","ACER VERITON DESKTOP IE 8001","Array","2021-07-02 04:43:24.545562"
"3247","Hardware","Others","ACER VT.B1JSIY1618","0.00 No = 0.00 PCS","2021-07-02 04:43:24.638172"
"3248","; Primary","; Not Applicable","ACER VT.B6DSI08818","Array","2021-07-02 04:43:24.741338"
"3249","; Primary","; Not Applicable","ACER VT B6DSI09418","0.00 No","2021-07-02 04:43:24.833625"
"3250","ACER","Others","ACER VT.BC7SI66319","0.00 No = 0.00 mtr","2021-07-02 04:43:24.929538"
"3251","Hardware","Others","AC Installation Charges","0.00 No = 0.00 PCS","2021-07-02 04:43:25.022074"
"3252","Molex LIU / Duplex Adaptor /Pigtails","Molex Components","ADAPT DSC SM OS1/2 SNAP BLU18282-0038

"," 150.00 No","2021-07-02 04:43:25.117445"
"3253","Enjay Card","Others","Adaptor"," 10.00 PCS =  10.00 No","2021-07-02 04:43:25.211643"
"3254","EKIN Thin Client","EKIN","ADAPTOR 12V TO 1 AMP","Array","2021-07-02 04:43:25.310410"
"3255","; Primary","; Not Applicable","Adaptor 12v to 2amp","0.00 No","2021-07-02 04:43:25.406303"
"3256","Networking","Others","ADAPTOR 19C TO 3.16 AMP","0.00 No = 0.00 PCS","2021-07-02 04:43:25.501503"
"3257","Air Pro","AIRPRO","Adaptor 24 Volt 5 Ampire","0.00 No = 0.00 PCS","2021-07-02 04:43:25.594317"
"3258","Wireless USB Adapter","AIRPRO","ADAPTOR 5 VOLT 1 AMPIRE","0.00 No = 0.00 PCS","2021-07-02 04:43:25.689697"
"3259","ADAPTOR","; Not Applicable","ADAPTOR 65W(BROWN BOX ) HP(ED494AA)","Array","2021-07-02 04:43:25.790527"
"3260","FORTINET FRESH","Fortinet Fresh","ADAPTOR OF 40 C FORTINET","Array","2021-07-02 04:43:25.890588"
"3261","AP Cable","Molex Components","ADAPTOR SCPC MM (DUAL)"," 141.00 No =  141.00 PCS","2021-07-02 04:43:25.986759"
"3262","AP Cable","Molex Components","ADAPTOR SCPC SM (DUAL)"," 870.00 No =  870.00 PCS","2021-07-02 04:43:26.083920"
"3263","Wireless USB Adapter","AIRPRO","Adaptor SC SM (Dual) Ap","0.00 No","2021-07-02 04:43:26.178550"
"3264","Studio","Others","ADATA 240GB SSD","0.00 No = 0.00 PCS","2021-07-02 04:43:26.274839"
"3265","Primary","; Not Applicable","A Data 8 Gb Laptop Ddr 4 Ram","Array","2021-07-02 04:43:26.374464"
"3266","Hardware","Others","ADATA DDR 3 4GB LAPTOP","0.00 No","2021-07-02 04:43:26.470282"
"3267","Hardware","Others","ADATA DDR4 XPG GAMMIX D30 16GB RAM","0.00 No","2021-07-02 04:43:26.566106"
"3268","FORTINET FRESH","Fortinet Fresh","ADDS 1000 USERS FORTIAUTHENTICATOR","Array","2021-07-02 04:43:26.670137"
"3269","Quick Heal Internet Security Admin Console","Quick Heal EPS","Admin Console Internet Sec. 10 User for 1 Year","Array","2021-07-02 04:43:26.770299"
"3270","Quick Heal Internet Security Admin Console","Quick Heal EPS","Admin Console Internet Sec. 10 User for 3 Year","Array","2021-07-02 04:43:26.877681"
"3271","Quick Heal Internet Security Admin Console","Quick Heal EPS","Admin Console Internet Security  15 User for 1 User","Array","2021-07-02 04:43:26.986338"
"3272","Quick Heal Internet Security Admin Console","Quick Heal EPS","Admin Console QH Additional Lic","Array","2021-07-02 04:43:27.082119"
"3273","Quick Heal Internet Security Admin Console","Quick Heal EPS","Admin Consol Internet Sec. 5 User for 3 Year","Array","2021-07-02 04:43:27.178196"
"3274","Quick Heal Internet Security Admin Console","Quick Heal EPS","Admin Consol Internet Security 25 User for 3 Year","Array","2021-07-02 04:43:27.278875"
"3275","Quick Heal Internet Security Admin Console","Quick Heal EPS","Admin Consol Internet Security Multy User for 1 Yr","Array","2021-07-02 04:43:27.378305"
"3276","Quick Heal Internet Security Admin Console","Quick Heal EPS","Admin Consol Internet Security Multy User for 3 Yr","Array","2021-07-02 04:43:27.477552"
"3277","Quick Heal Admin Console Renewal","Quick Heal EPS","Admin Consol Internet Security Renewal for 1 Yr","Array","2021-07-02 04:43:27.577304"
"3278","Quick Heal Admin Console Renewal","Quick Heal EPS","Admin Consol Internet Security Renewal for 3 Yr","Array","2021-07-02 04:43:27.674302"
"3279","Quick Heal Total Security Admin Console","Quick Heal EPS","Admin Consol Total Security 10 User for 1 Yr."," 1.00 Box =  10.00 URS","2021-07-02 04:43:27.769639"
"3280","Quick Heal Total Security Admin Console","Quick Heal EPS","Admin Consol Total Security 5 User for 3 Yr","Array","2021-07-02 04:43:27.865663"
"3281","Multi User Quick Heal","; Not Applicable","Admin Consol Total Security Multy User for 1 Yr","Array","2021-07-02 04:43:27.966226"
"3282","Quick Heal Admin Consol","Quick Heal EPS","Admin Consol Total Security Multy User for 3 Yr","Array","2021-07-02 04:43:28.065402"
"3283","Quick Heal Admin Console Renewal","Quick Heal EPS","Admin Consol Total Security Renewal for 1 Yr","Array","2021-07-02 04:43:28.162258"
"3284","Quick Heal Admin Console Renewal","Quick Heal EPS","Admin Consol Total Security Renewal for 3 Yr","Array","2021-07-02 04:43:28.261645"
"3285","Quick Heal Total Security Admin Console","Quick Heal EPS","Admin Consol Totla Security 10 User 3 Years","Array","2021-07-02 04:43:28.361567"
"3286","Quick Heal Internet Security Admin Console","Quick Heal EPS","Admin Security Internet Security 20 User for 3 Year","Array","2021-07-02 04:43:28.465405"
"3287","Adobe Photoshop","; Not Applicable","Adobe Photoshop Extended CS6","Array","2021-07-02 04:43:28.561460"
